,0
62,تم تجاهل ملاحظتي
63,I ordered an iced drink but it strived without a straw !
64,The coffee came cold
65,ممتاز
66,التغليف لم يكن جيد
67,I recive it not covered or in bag it was not have extra cousion regrad covid 19 which i expected the top of the cup to be coverd  with plastic wrap thank you
68,Very good
69,Good
70,Good
71,💕💕💕
72,ممتاز
73,ممتاز
74,ممتاز
75,الطعم غير جيد
76,I ordered the same as before but when it arrived it wasnt what i thought id ordered
77,Excelent
78,Good
79,"Really delicious and flavorful food, we loved the kebab, mutabal, hummus, and ouzi"
80,رائع
81,Great
82,Good
83,الاكل سئ جداااااا باررردددد ومب فرش اطلاقاً والطماطم الي فيه خيااس
84,Good taste of food
85,لا انصح به
86,لذيذ
87,ممتازه
88,الاكل العراقي لديذ جدا
89,طلبت يكثروا عمبة مع الفلافل اصلا ماحطولي عمبة
90,On time &amp; yummy food
91,Good
92,💕💕💕
93,ممتاز
94,ممتاز
95,ممتاز
96,الطعم غير جيد
97,I ordered the same as before but when it arrived it wasnt what i thought id ordered
98,Excelent
99,Good
100,"Really delicious and flavorful food, we loved the kebab, mutabal, hummus, and ouzi"
101,رائع
102,Great
103,Good
104,الاكل سئ جداااااا باررردددد ومب فرش اطلاقاً والطماطم الي فيه خيااس
105,Good taste of food
106,لا انصح به
107,لذيذ
108,ممتازه
109,الاكل العراقي لديذ جدا
110,طلبت يكثروا عمبة مع الفلافل اصلا ماحطولي عمبة
111,On time &amp; yummy food
112,"it is the best allover GCC 
thank you shawarma factory, 💖 💓"
113,شئ ولا اروع واجد روعة ومرتب واكل طعمه ممتاز حقا
114,الصراحة اكل ممتاز وفرش انصح الجميع تجريب شاويرما فاكتوري 💗🤩🤩
115,مو حلو عن جد لا انصح فيه
116,اسعاره غالية والسندويشات بدون طعم
117,عن جد الاكل مو حلو واسعاره نار على شو ؟
118,لا يستاهل حتى نجمة واحدة
119,عن جد اسعار مبالغ فيها والاكل مو حلو
120,كان الشبس لذيذ
121,وجبة مباركية دجاج، كانت عبارة عن ساندويش فقط
122,مطعم ااكله تعبان
123,Top resturant
124,Fast
125,افخم مطعم في سلطانه عمان
126,الطعم مقبول
127,فنان
128,Very good food quality
129,تأخير وسايق ما يفهم
130,ممتاز جدااا الاكل
131,جيد جدا
132,"الطعم رائع  الأكل حار ونظيف
فاخر من الأخر"
133,The best cappuccino youll ever have 🙏🏻😎
134,I ordered hot spanish latte but i recive cold one
135,Nice coffee
136,Good
137,Good👍🌸
138,Nice
139,سيء و قهوة ساخنة ما فيه
140,Delicious
141,
142,We didnt get the food
143,👍🏽
144,Wow
145,Excellent food and service!!!!
146,"Ordered mixed fried seafood, which cost 6 rials. Put only two prawns and 6 pieces of sequid."
147,THE BEST THAI RESTURANT. always do the requests and it always tastes good. easily my fav noodles!!!
148,Amazing food as always
149,
150,"I order tum yum seafood only one shrimp ,one pice fish😒"
151,"The souce was missing with the meal also frid rice supose coke with vegetable but there is no vegetable , Quantity was less than i expect comparing with the price"
152,شكرا
153,"My recent orders of food is not ""Thai Spicy"" anymore. It's very dissappointing."
154,Thank you 🙏
155,Many thanks for being so reliable every time. Hot. Fresh. Delicious.
156,Tom yum was not that good as usual
157,"Always delicious, fresh, hot and very tasty 👍🏻 Thank you 🙏"
158,Thanks
159,👍
160,The rider didnt give me the right amount of change back he gave me half of it only.
161,Na
162,جيد
163,Excellent
164,not good i came outside and u wasnt there for 5 mins
165,Cool
166,Thanks
167,Please needs to arrive while
168,
169,ممتازة
170,لل يوجد
171,ممتازة
172,Very good
173,شكرا
174,ممتاز
175,ا
176,Super good and nice
177,The rider is perfect
178,لذيذ
179,Thanks to rider
180,The rider is perfect
181,very good
182,Please make sure to include spoon
183,Please next time give us spoons
184,Good
185,Hi ffhgcdc
186,شكرا
187,Anazing
188,Ok
189,good
190,It's really very small😞
191,واو
192,لذيذ
193,Not happy with the timing procress
194,Nil
195,Thanks
196,Perfect
197,Sent me order to the wrong home even though he was right in front of my house and aked me to come out then gives my order to the Neighbor opposite my house
198,لذيذ
199,Thank you
200,-
201,The food was very nice
202,ok
203,👍
204,
205,حلو
206,ممتاز
207,رائع رائع رائع
208,M
209,￼
210,Good
211,Always very tasty and Lactose free
212,Was cery bad improve please
213,رهيب
214,Great
215,The server called to clarify our order and we were so thrilled
216,Great service as always
217,Awesome
218,Clod stone is always great
219,so good
220,NA
221,Ice cream was almost fully melted when It was delivered.
222,Ice cream was melted and the package was open
223,The food packaging was perfect
224,Amazing
225,"Till now the best mexican food, keep it up ❤️"
226,كأن الطعم تغير..
227,"Some kind of porridge in the dough, I expected a lot more."
228,"I ordered the super size burrito. It is not small, but definitely not big. If I knew, I would have ordered 2. Minor thing: No napkins in the packaging. I would expect at least one."
229,Food was cold and soggy.
230,None
231,The wrong order was delivered to me
232,"Carne Asada Steak is so tough we can't eat it. Ordered extra guacamole and sour cream, not delivered. So spicy cannot eat the food."
233,Very good
234,Items are missed am very upset
235,"supposed to be chicken salad, but it has very few pieces in the salad"
236,Good
237,great food
238,Food was too oily
239,😎❤️
240,The order came different as usual the salad is very less which was disapointing
241,Fhe king prawns salad looked nothing like the pbotos. The prawns were small and not king size. Tha lettuce was soggy and there was just too kich sauce. Ill mot order again.
242,Rider behavior was not nice or professional
243,Love the burritos!!
244,"We ordered Mini Campeche Quesadillas as we always do, but could not eat this time as both of them were with BBq sauce on top, that was never put on top before - tasted awful."
245,Good
246,Without Tomato !!!!!
247,Good
248,Bad
249,Good food
250,I was impressed with how fast my order arrived
251,
252,bad
253,They miss some special request
254,"I have ordered a turkey breast meal, but i received tuna sandwich meal."
255,لا انصح  بطلب ليلآ عادي طاااف امرك من صب واي
256,-
257,Excellent
258,😘
259,Jzhssgs
260,The bedt sandwich i ever had in my intier life love it so much
261,My order is missing
262,The meal was not toasted enough as mentioned in the order
263,Fantastic
264,Didnt get my full order
265,ممتازززز
266,Nothing
267,Very good
268,🥰
269,
270,ممتاز
271,Very good i order again 🤯
272,Very good
273,Perfect
274,😍
275,No straws came for milkshakes
276,Very baddddd
277,Goood
278,ش
279,"No spoon or tissue 
It was supposed to be delivered within 35 mins. But I recieved it after one hour"
280,Good
281,ماحطوا معلقه
282,Good
283,Fast and goood
284,Good
285,Fast
286,Super. Fast not melted at all fudge sauce still hot
287,Very good service and the bread from le petit paris is just amazing
288,Not bad croissant is good
289,الاكل تعبان وسعر مبالغ فيه
290,Amazing
291,"I orderd a Raisin Roll and Almond Croissant.
Unfortnately, itemes were put together in a small paper bag. They were squashed. 
Please make sure to package each pastry in a seperate bag."
292,Please ask them to put seal on the package so people would feel safe
293,So fast and nice
294,جدا ممتاز
295,My coffee is missing.
296,I ordered almond croissant and got plain one
297,very good
298,nice
299,The best loaves of bread !
300,Good
301,Delicious chiken pesto Sandwish!
302,-
303,Le petit paris is not as good or fresh as it used to be
304,Absolute
305,The cheesecake is very very very very very very small and it's very very very expensive
306,Needs better packaging
307,الكروسون  جبن رائع  بالطعم  ولكن  السعر مبالغ فيه جداا جداا
308,it wasn't mentioned that it contains onions  .. taste is not good as expected and the special request was ignored
309,👍👍
310,Food came within 25 mins but wasnt warm or tasty. All three of what was ordered.
311,Too expensive food
312,One of my favorite pasta dishes in town. It's simple but it tastes really delicious😋 Thank you
313,
314,"Authentic, good, delicious."
315,I ordered pizza and it was very disappointing.
316,"I ordered tiramisu, it came frozen with a note saying that ""eat after 30 mins"". Disappointing to say the least."
317,The seafood was over cooked (Prawns and the lobster )
318,"The rider literally texted me: ""Do hurry up i need to go another order pick up"", just before I asked him to wait for 30 seconds"
319,"The first time i enjoyed a real, fresh ingredients-made pizza! 
All was perfext! Thank you"
320,Nice food
321,جيد
322,اسوء رزيتو اكلته ف حياتي كانه مرق نارجيل مل سمك م ريزتو
323,"Great food , you feel that you are eating sweet with the test you expect"
324,Amazing food!
325,Didnt like the food .. but deleviry was fast
326,The pizza flavor can be stronger
327,"The food were perfect , the brouni are balance , long time  to have such brouni , strongly recommended"
328,H
329,Delicious burgers
330,It lacked beef quality
331,Good
332,The burger was really good however the curely fries pieces were not a lot and the chiken tenders where under cooked. Hope you can add more fries!
333,M
334,Really liked the burger!!! I'll order again for sure
335,Delicious 👍🏼
336,The baffalo wings were awosome
337,
338,Bad spoiled food
339,the best 👌🥰 stuffed fries
340,Literally the best buffalo wings I've ever tried 1000000/10
341,نوعية الأكل لازم تتحسن
342,Decent
343,I ordered pistachio milkshake and i didn't like it at all ! I couldn't taste any pistachio or milkshake ! It was something foamy and not cold as it should be because it was simply just foam!! I will not order it again !
344,"I ordered a box of fries for one riyal and you can count how many fries are in the box only by looking and super socked with oil, too little for one riyal . It's overpriced."
345,The slice of heaven was soooo good.
346,🔥🔥
347,tiny tastless chicken burger don't recommend
348,"Really delicious, worth every calorie 😋😋"
349,"The best of the best ordered the D3SS and shakes recommend the pistachio, cookies n cream blueberry and strawberry milkshakesss the fam and I enjoyeddd 🔥🔥"
350,"Beef burger worth the try amazing.
But Mozzarilla sticks not worth the taste or the money- should be not more than 500Baiza"
351,"Delicious cheese fries, they really respond to customers requests. Thank you so much."
352,.
353,Very fast!! Love it
354,😍
355,Mushroom Burger and chicken strips are the best 👏🏻
356,
357,too salty
358,شكرا
359,ممتاز
360,Labeling on the burgers would be good so we know whaich one is which
361,food wasnt fresh at all its like it was cold and reheated
362,"I thought the dynamite container in the pic is going to be the same, i got a really small container and i was so hungry:( you guys tricked me"
363,.
364,حلو
365,"Burger was good as usual 
Fries was not that good"
366,😍
367,💛💛
368,Make sure you recive fresh burgers
369,حجم البرجر صغير جدا والطعم أقل من عادي .. المفترض تكون أقل من نصف القيمه المعروضه .
370,Good
371,Super
372,Came in a plastic bag and not in a tin as described on the app
373,Missing items
374,Good
375,ممتاز🤩
376,
377,F
378,لذيذ  وكميه راهيه
379,We thought our order will come in pocket or tin.. it came in bag.
380,"Goood, but they brought an ordenary plastic bag"
381,وين طلبيه؟؟؟
382,The taste of cheese bad
383,توصلت بطلبية بوكورن لكن ليس طازجا ودفعت المبلغ المستحق وتم استرجعاه ليكون الطعام طازج واتا حاليا انتضر
384,The corn they used has changed and it doesnt taste as good as before
385,دىنع
386,I love it
387,ا
388,The best
389,Very good I recommend ordering popcorn from here
390,شكرا ❤️‍🔥
391,Excellent
392,ممتاز
393,Hilal from Belkin is amazing!
394,تأخر واجد ٢٠ مكان يوقف قبل
395,Amazing
396,Food was without any kind of sauces 👎
397,H
398,Nice
399,Missing drink
400,The garlic edamame is sooo good!
401,Expensive
402,Good
403,Always the best! Thank you for everything!!
404,N
405,J
406,Amazing
407,I will call and make a complaint. The chicken is off from the katsu I ordered. It definitely has been reheated or cooked previously and been in the freezer. What a horrendous experience.
408,
409,Good
410,Perfect as always!
411,
412,Super tasty
413,جميل
414,"Besides the food being SO delicious, Sushi box has an extra speciality where you truly take care of the customer! Thank you and keep up the greatness please"
415,Excellant
416,No thoughts
417,Was fast thanks
418,Great service
419,Great stuff
420,Thanks
421,Ok
422,ممتاز
423,Great service and product
424,M
425,طلب مختلف عن طلبي
426,Great service and product
427,Great product and service excellent
428,why don't u add the new capsuls so we can order from talbat.  thank you 😊
429,Good
430,So quick!
431,Great service
432,Good
433,Great product and service
434,Did not receive what I ordered.
435,Very good
436,جربت البيتزا ويعني عاديه نوت واو
437,
438,s
439,Good
440,Talabat is the best way to place order
441,Great food as always
442,Good
443,يحضرون طعام بارد وغير طازج
444,Grilled chicken is amazing
445,They didnt pay attention to my message at all. Even it was a very small request.
446,The fiod is tasty but ni lamb chops in the mixed grill
447,Good
448,روعه
449,Good and on time than you
450,Good
451,ممتاز الاكل كان ساخن و سريع ولذيذ
452,الطلبية كانت اسرع من البرق وصلت الطلبية مع وصول الضيوف الحمد لله
453,Very humble guy and very hardworking.. He found my house while my phone was switched off.. MashaAllaah very humble guy.. big up
454,Delicious
455,Very nice food
456,Always order in turkish palace. Food is delicious
457,روعة الكوفي تسلم ايدكم
458,I asked and paid for a vanilla pump but i got an iced latte with no vanilla flavor which i paid for
459,Best iced mocha
460,حطو ملاعق لو سمحتو
461,ممتاز
462,The saffron cake is dry and no milk was with it. The san sebastian is soggy
463,
464,The cookies was not fresh very bad
465,ممتاز
466,The froasted cream tastes bad not as usual they used better sauce than the cream
467,العفو
468,ممتاز
469,Excellent
470,One of the best cinnamon rolls but The rolls are getting smaller and smaller in portion
471,جولدن براون كوكيز لذيذ
472,حلو
473,.
474,Goooood
475,"This is so bad, i asked for two nutella and two pistachio cookies abd i just go the pistachio  the lava cake is a joke jt looks nothing lkke the picture and it was cold"
476,.
477,.
478,Very good
479,للآبد انتو رهيبيين🤝
480,It was a very exellent survice.. and the client was very polite and gentle.
481,
482,الايس كريم ذايببببب و بارد الكريب
483,they completely ignored my special request with regards seasoning in the croque madame.
484,They keep forgtting to put the differnt names of the meals on the paper so we Always  end up eating each other meal
485,Excellent driver
486,They added mayo in sandwich without my request
487,Nice packaging and prompt dilevery
488,Order should be shown on the boxes as we cannot tell the difference between the savory crepes.
489,Crepe was hard and lotus crepe was burnt. I dont recommend. Better off with Dip &amp; Dip.
490,Good
491,Talabat is amazing💪
492,Wrong was an omlette moy crepe
493,Superb
494,No forks and knife . How i supposed to eat 🙄
495,Not what i orders
496,No fork and spoon how we can eat waffles
497,I think i was charge twice for the order. Could you please correct this.
498,🤙🏻
499,They did not put tissue and fork with order
500,The food arrived cold and the crepe had a leathery texture from being cold. The smoothie was not cold enough.
501,Good packing. Best crepe in town.
502,
503,الايس كريم ذايببببب و بارد الكريب
504,they completely ignored my special request with regards seasoning in the croque madame.
505,They keep forgtting to put the differnt names of the meals on the paper so we Always  end up eating each other meal
506,Excellent driver
507,They added mayo in sandwich without my request
508,Nice packaging and prompt dilevery
509,Order should be shown on the boxes as we cannot tell the difference between the savory crepes.
510,Crepe was hard and lotus crepe was burnt. I dont recommend. Better off with Dip &amp; Dip.
511,Good
512,Talabat is amazing💪
513,Wrong was an omlette moy crepe
514,Superb
515,No forks and knife . How i supposed to eat 🙄
516,Not what i orders
517,No fork and spoon how we can eat waffles
518,I think i was charge twice for the order. Could you please correct this.
519,🤙🏻
520,Yum foodi
521,Good
522,The Package was open without a seal.
523,
524,.
525,🖤🖤🖤🖤 الاكل كان كثيرررررر لذيييييييييييذ
526,👍
527,Excellent
528,i asked for them to have a change of 50 and they didnt
529,و
530,So sad
531,I havent recieved my order
532,
533,"Food came cold , fries was not fresh"
534,ماوصلت الطلبيه
535,After 2 hour i recive my order
536,Not fresh
537,لذيذ وساخن♥️
538,Very good food
539,لم يحضرو الملاعق والتيشو دائماً
540,Great burgers
541,ممتاز
542,My fav Pizza
543,Its goooood👍🏼
544,Good services
545,It was really good
546,￼
547,Good
548,Excellent
549,ممتاز
550,Good
551,"Great Pizzas, for sure not last time"
552,Good
553,Drinks and sauces missing! Pizza very cold!
554,"Food is cold, driver didnt have bag to keep food hot"
555,I felt I got great quality for the amount I paid
556,ممتاز
557,ممتاز
558,ممتاز
559,Rider was completly unprofessional with in accurate tracking . I had to drive out to recieve the order . At the same time  he was handling multiple  orders
560,"Pizza wasnt delivered, it only had pepperoni rolls"
561,الأكل ليس طازجا ووصل باردا
562,Excellent food. Good restaurant.
563,I paid for extra portions but did not receive it.
564,Food not as expected at all
565,I love their mushroom rissotto!
566,
567,Ok
568,Ok
569,"Delisious food, but little bit expensive"
570,Delicious !!
571,Everytime perfect with Bateel
572,"Food was nicely packed and warm. However, it came without forks."
573,Good
574,ا
575,￼
576,Two simple requests were ignored by Cafe bateel
577,رائع رائع من كل النواحي
578,Amazing
579,Perfect !
580,Great
581,Good
582,Amazing and dekicious
583,😁😁😁😁
584,I ask for some thing els
585,
586,popcorn was not fresh at all
587,Best popcorn and nachos 🤩✌🏻
588,😍
589,🥰
590,جيد☹️
591,Yammi
592,"الجبن سيء جدا 
تراكم الرطوبه فالعلبه 👎🏻👎🏻👎🏻👎🏻"
593,Fast and good
594,🔥
595,الفوشار ما طازج
596,‏
597,ممتازة
598,More than 1 h
599,"I was impressed with how fast my order arrived, The food packaging was perfect"
600,المعاملة جيدة وسريعة👍🏻
601,
602,Wrong order
603,كل شي كان ممتاز شكرا
604,كًارلل.  رلرت
605,Good
606,Best pizza so far in muscat!
607,Favourite pasta here
608,diet Pepsi was missing
609,احلى كلزون اكلته ف هالمطعم😍😍😍
610,Fast
611,Good
612,It was wrong item
613,👍
614,I love their service and food
615,Appereciate it.  Great
616,Perfect  best pizza in Oman
617,N
618,شكرا جزيلا
619,Since a few months the food isn't delicious anymore. Before they had great food but now it is really disappointing. Tasteless and a minimum of sauce. This is really a pity. Was the chef replaced ?
620,The rating of the restaurant at Talabat is inaccurate and misleading.. the food was extreemly poor.. cold and poorly cooled
621,Very cold and take mote then one hour to deliver
622,Yum
623,Great food
624,N
625,"My order was prepared perfectly .
Very happy . Thank you"
626,best everrrtr
627,يس
628,I ordered this frozen yoghurt for my kids because it said it will be deliveted WITHIN 24 MINS. It was nearly an hour when I got it. If I knew it's would take this long I wouldn't have bought it. I am very disappointed.
629,لماذا لا يوجد ملاعق في طلبية
630,ممتاز
631,ممتاز
632,ممتازه
633,Perfect
634,good
635,Amazing
636,🥰
637,It's said that it's buy 1 get one but I received only 1 item.
638,There are no spoon in the order 🤌🏻
639,Rider is too annoying!
640,it had a wired flavor that hurted my toung
641,Yumy yumy
642,الطلب لذيذ
643,No spoons been provided and I dont know why??!!
644,He hung the order on the door and left before i could instruct him not to do so
645,❤️❤️❤️
646,😋✌🏻
647,Excellent ! Super tasty food 👍🏻
648,الاكل غير طازج.
649,👍
650,The salad was very bad  and very spicy
651,Very nice!
652,"I payed almost 5 rials and got packaging from resturants that charge 500 baisa for a breakfast, shameful"
653,I missed the bread and the butter that usually comes with the salad
654,It was really good
655,Small portion of grilled potatoes for the price 800bz
656,Excellent
657,Great food as usual
658,Order took way to long and we only ordered soup
659,Always so good thanks
660,Always great food!
661,A nice selection for breakfast
662,Excellent
663,Very good food!
664,Excellent as always
665,Excellent
666,I loved how my order was packaged it was fresh and good but not wow the Mediterranean salad was tastier 😋
667,"Ordered the Bulgogi cup, barely any bulgogi, just all rice with a sprinkle of Bulgogi."
668,Good perfect amazing
669,ءء
670,Amazing
671,Love
672,Perfect
673,Its not an korean food
674,Love u guys
675,
676,VERY SPICY
677,Very good
678,"Each and everything we tried from there was yum! I love their regular teokbokki.  better to order the regular one. Spicy one is like the one we have seen in spicy noodles challenge, its toooo spicy. But rest everything is mindblowing!!! They have good quantity"
679,Yumyyyyy
680,Love it!
681,
682,"Really great new experience, everything I tried was nice. Worthy of a try"
683,Very good
684,I didnt have the choice to choose the same type of cookie so i wrote a special request and it's totally ignored !
685,حلو ونظيف
686,Best cookies in Oman!
687,جميل
688,ممتاز
689,Thank you for not ignoring my note.
690,كوكيز النوتيلا ولا غلطه يجنن
691,👌👌👌
692,The cookies were Below average  not recommend it
693,Good
694,Extrnely poor product extrmelg expebsive and not as pee pic very small portion
695,ممتاز
696,it was the best cookie ive ever ate
697,G
698,لذيذ وهش
699,alright
700,احلى كوكيز
701,‏أحلى ناس طلبات
702,Most of the cookie is nutalla lol
703,"For the big 4 cookies box, i didnt get the same flavor of cookies i chose. Perhaps there was a shortage and they tried to call me to tell me that they will replace the cookies flavor. I didnt reply to the call as i cannot. I recommend messaging people on whatsapp if they dont reply to the phone call."
704,لذيذ جدااا
705,باقی 800بیسه لم یرجعهم لی
706,الاكل لذيذ جدااااا جداااا 💖
707,Ok
708,"Geilled items were not hot enough upon arrival. And, more importntly, found a live cocktoach in the delivery box. 😳 Very disturbing and clearly unsanitary."
709,Cool
710,لذيذ جدا
711,Good
712,Good
713,جيدا جدا
714,جيد
715,the food is good but it's not like i want it!! i asked to make it plain  no extra stuff ..
716,جيد جداً
717,I paid more for less wrong order
718,Fast
719,كمية الاكل قليلة مقارنه بالسعر +سلطة رمان مافيها غير حبتين رمان وكلها خس ومافيها طعم ابدا وسعرها مبالغ فيه جدا سلطه خس بريالين و٢٠٠ ليش
720,Ver bad
721,The rider clearly did not follow what i told him. Very bad experience
722,Abit pricey
723,⭐️⭐️⭐️⭐️⭐️
724,ر
725,جيد
726,always very good 👍
727,Ok
728,ألفريدوا باستا خطير وسعره مناسب
729,The chicken is not cooked well and still row.
730,👍🏻👍🏻👍🏻
731,الطعام لذيذ ولكن الخضار قليله
732,"Great food quality, love it!"
733,Best resturant 👍🏻❤️
734,"I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations, I was impressed with how fast my order arrived, The food packaging was perfect"
735,"The food packaging was perfect, I was impressed with how fast my order arrived, I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations"
736,"The food packaging was perfect, I was impressed with how fast my order arrived, I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations"
737,"Buffalo shrimps overcooked and has bad smell and oily , also very expensive comparing to the quality received"
738,"The food packaging was perfect, I was impressed with how fast my order arrived, I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations"
739,"I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations, The food packaging was perfect, I was impressed with how fast my order arrived"
740,The food was so delcious and tasty
741,Food was good
742,Fantastic 🤩🔥
743,ولا علطه
744,Good
745,I said spaicy souse i did not ask for peper on it
746,ا
747,Very good chicken shawarmas
748,الشورما فاضيه وطعمها غريب
749,الاكل طعمه ما حلو ما انصح احد يطلب من المطعم هذي اول مره واخر مره شكراً 😐
750,"يتفلسف وايد وينازع لكن ادبته 
ويشحت بعد يقول ابا فلوس زيادة"
751,Good
752,يميييي
753,ياخي الشاورما مالهم تفووز والله الدجاج والحم كلهم
754,سبب لي ازعاج
755,شاورما الدجاج لذييذهههه
756,جودة الاكل مقارنة بالسعر تعبتر غير مرضية غير كذا السندويشات جدا جافه ما فيها صلصات كفاية والاكل ما كان حار
757,The food not delicious
758,شاندويش طيبة كتير بس المفروض يكون فيها زيادة توم تَ ما تكون ناشفة
759,جيد
760,Good
761,الفلافل لذيذه جدا
762,Good
763,لذيذ الفلافل ..Tasty falafel
764,شكرا
765,"الطلب وصل وغير مكتمل
لا يوجد ملاعق علما بانه تم إزاله علامه للحصول على ملاعق من المطعم وتم تجهال الملاحضات"
766,"Food is so nice, price is too high"
767,Food was very bland
768,👍🏻
769,جيد
770,"He left the food on the floor and leave
The food isnt well packed to be left on the floor
He didnt even call me to tell me he's outisde he just left it on the flooor outside next to my car tire??? I didnt choose contactless delievry and FYI i have a dog he couldve taken my food!!!"
771,الطلب ناقص والسايق ما يرد على الاتصال
772,اصابع الجبن كلها زيت وما يبين فيها الجبن ناشفه  والسعر غالي عليها بس سندويتش الكبدة لذيذه دائما اطلبها
773,👍🏻
774,The food is very tasty
775,جيد
776,ممتازة
777,سريع
778,ا
779,لذيذ
780,Salad was a little soggy but the sandwishes and checken was delicious
781,Best restaurant in muscat
782,"ارجاع المبلغ ناقص 
استلم ١٠ ريال  والحساب ٦ ريالات ٢٠٠ بيسه 
وارجع لي ٣ ريلات و ٢٠٠ بيسه ؟؟؟!!!!"
783,Best restau in oman
784,يعجبني اكلهم
785,The food was not tasty
786,❤❤❤
787,Good
788,يعجبني هالمطعممممم
789,Good grilled
790,ممتاز
791,جميل
792,مطغم جيد
793,تمام
794,ا
795,ما استلمت الطلب اصلاً
796,Good
797,Amaaaaazing
798,Ok
799,Mix grill delicious
800,ممتاز
801,Food was great in terms of quality and quantity.
802,Super
803,The items prices are higher in talabat than in real menu!!!
804,الاكل جيد لو تغيروا الزيتون المستعمل في البيتزا والفطاير مالح جدا وتقليل الاجبان في البيتزا
805,ممتاز
806,❤️☺️
807,الاكل حار
808,Nice
809,I didnt recieved my order
810,Fast
811,Lovly food price wise lil expensive
812,طلب ليس كما هوه
813,😍
814,لم اعجبني للاسف 😓
815,waste of money
816,This very bad from restorant
817,لا
818,Veg &amp; non veg same curry same taste Average Food
819,Not at par with other hyderabadi biryanis available in muscat
820,لذيذ وساخن ❤️
821,ممتاز جدا
822,Good..kebabs were salty
823,Food was below average
824,طيب
825,my order was missing
826,"Order supposed to reach within 26 minutes ,, it took 40 mins to be delivered,, delay not accepted as I supposed to leave home by this time"
827,Thanks
828,Didnt get the order and the deiver cannot communicate
829,Good
830,Thanks
831,-
832,Pepsi was not delivered
833,No fork how am i supposed to eat
834,Good
835,Really respectful person
836,لم يصل طلبي الى الان
837,لذيذ
838,"Very Bad Tast and It wasnt well done. 
The fries was cold and hot and it was sticky. 
Its like it was yesterdays menu"
839,روعه الاكل
840,للأسف الجودة والمذاق تغيرت للأسوء
841,
842,H
843,تأخير
844,Both sliders and burgers were overcooked that the patty was dry. First time experiencing disappointed taste.
845,He dropped the wrong order and i had to call him to tell him that he had made a mistke.
846,يزيدوا الصوص فالاكل
847,♥️
848,رئع
849,الحمدلله
850,Bbcckogvuvh
851,حمدالله
852,
853,Thanks
854,ت
855,M
